id;codigo;nombre;descripcion;precio_adicional
1;Focused Auto Cambridgeshire;systems calculate card;wireless Bedfordshire utilisation;88984
2;AI Regional;Awesome Krone index;Home;54187
3;cross-platform;Shilling Books Future-proofed;Wooden Human;38580
4;USB Shirt;bluetooth;Soft Pula;78878
5;Customer Ergonomic hack;Designer lavender;deposit backing;4155
6;Sports;Wooden;Ball Internal;20999
7;seamless deposit;Hat Savings;Cambridgeshire SDD Fort;7872
8;Analyst Island;Garden;XML best-of-breed;7681
9;indexing Hampshire;supply-chains Borders;interactive synthesize;45854
10;Romania Sausages;Technician port;haptic IB copying;20471
